[2026-06-08 00:47:39] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': '⛧ 𝑵ᴏᴄᴛᴀʀɪᴜᴍ', 'primary_guild': None, 'mfa_enabled': False, 'id': '1511181084115730432', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '2141', 'clan': None, 'bot': True, 'avatar': '62faf5f4ddf4458d656e9b4c568bb644'}, 'session_type': 'normal', 'session_id': '766e780163490b3cce32cd18a3126313', 'resume_gateway_url': 'wss://gateway-us-east1-b.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1510609839473168604'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['marseille', 'madrid', 'milan', 'paris', 'brussels'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1511181084115730432', 'flags_new': '2662400', 'flags': 2662400}, '_trace': ['["gateway-prd-arm-us-east1-b-rzxt",{"micros":341328,"calls":["id_created",{"micros":546,"calls":[]},"session_lookup_time",{"micros":300,"calls":[]},"session_lookup_finished",{"micros":14,"calls":[]},"sessions-prd-gcp-us-east1-b-18",{"micros":340094,"calls":["start_session",{"micros":293390,"calls":["prd-rpc-66c5987644-4g544",{"micros":133406,"calls":["get_user",{"micros":43882},"get_guilds",{"micros":8620},"send_scheduled_deletion_message",{"micros":32},"guild_join_requests",{"micros":29},"authorized_ip_coro",{"micros":27},"pending_payments",{"micros":1933},"apex_experiments",{"micros":139451},"sessions_experiments",{"micros":28},"played_application_ids",{"micros":20},"linked_users",{"micros":19},"ad_personalization_toggles_disabled",{"micros":19},"regional_feature_config",{"micros":20}]}]},"starting_guild_connect",{"micros":35,"calls":[]},"presence_started",{"micros":41070,"calls":[]},"guilds_started",{"micros":112,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":0,"calls":[]},"presence_connect",{"micros":5455,"calls":[]},"connect_finished",{"micros":5469,"calls":[]},"build_ready",{"micros":13,"calls":[]},"clean_ready",{"micros":2,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2026-06-08 00:47:39] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-06-08 00:47:39] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 766e780163490b3cce32cd18a3126313).
[2026-06-08 00:47:39] [DEBUG   ] discord.client: Dispatching event connect
[2026-06-08 00:47:39] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'premium_features': None, 'afk_channel_id': None, 'splash': None, 'stage_instances': [], 'activity_instances': [], 'theme': None, 'inventory_settings': None, 'profile': None, 'latest_onboarding_question_id': None, 'verification_role_id': None, 'hub_type': None, 'premium_subscription_count': 0, 'nsfw_level': 0, 'official_message_color': None, 'application_command_counts': {}, 'embedded_activities': [], 'id': '1510609839473168604', 'features': [], 'experiments': {'evaluation_id': None, 'assignments': []}, 'name': '⛧ 𝑨ʟᴍᴀ 𝑵ᴏx', 'guild_scheduled_events': [], 'vanity_url_code': None, 'rules_channel_id': None, 'home_header': None, 'unavailable': False, 'afk_timeout': 300, 'system_channel_id': '1510609840073080874', 'mfa_level': 0, 'roles': [{'version': 1780227851638, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1510609839473168604', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1780802516629, 'unicode_emoji': None, 'tags': {}, 'position': 5, 'permissions': '8', 'name': '⛧ Noctario', 'mentionable': True, 'managed': False, 'id': '1511176220916715600', 'icon': None, 'hoist': True, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 8021092}, 'color': 8021092}, {'version': 1780363813063, 'unicode_emoji': None, 'tags': {}, 'position': 3, 'permissions': '0', 'name': '⛧Cultista de sangre', 'mentionable': False, 'managed': False, 'id': '1511176662195245209', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 9055044}, 'color': 9055044}, {'version': 1780802516623, 'unicode_emoji': None, 'tags': {'bot_id': '431544605209788416'}, 'position': 2, 'permissions': '275415166016', 'name': 'Tupperbox', 'mentionable': False, 'managed': True, 'id': '1511179701165752512', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1780802516625, 'unicode_emoji': None, 'tags': {}, 'position': 4, 'permissions': '0', 'name': '⛧ Familiar', 'mentionable': False, 'managed': False, 'id': '1511180061296820324', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 8087432}, 'color': 8087432}, {'version': 1780854637914, 'unicode_emoji': None, 'tags': {'bot_id': '1511181084115730432'}, 'position': 1, 'permissions': '8', 'name': '⛧ 𝑵ᴏᴄᴛᴀʀɪᴜᴍ', 'mentionable': False, 'managed': True, 'id': '1513238771833770198', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'moderator_reporting': None, 'banner': None, 'soundboard_sounds': [], 'threads': [], 'safety_alerts_channel_id': None, 'incidents_data': None, 'max_video_channel_users': 25, 'preferred_locale': 'en-US', 'premium_progress_bar_enabled_user_updated_at': None, 'discovery_splash': None, 'owner_id': '344926275942481930', 'explicit_content_filter': 0, 'description': '', 'game_application_ids': None, 'owner_configured_content_level': 0, 'public_updates_channel_id': None, 'verification_level': 0, 'premium_tier': 0, 'premium_progress_bar_enabled': False, 'channels': [{'version': 1780363849207, 'type': 4, 'position': 0, 'permission_overwrites': [{'type': 0, 'id': '1510609839473168604', 'deny': '1024', 'allow': '0'}, {'type': 0, 'id': '1511176662195245209', 'deny': '0', 'allow': '1049600'}, {'type': 0, 'id': '1511180061296820324', 'deny': '0', 'allow': '1049600'}], 'parent_id': None, 'name': '⛧ 𝑲ᴀʀᴘᴏᴠ', 'id': '1510609840073080872', 'flags': 0}, {'version': 1780363849207, 'type': 0, 'topic': None, 'theme_color': None, 'rate_limit_per_user': 0, 'position': 2, 'permission_overwrites': [{'type': 0, 'id': '1510609839473168604', 'deny': '1024', 'allow': '0'}, {'type': 0, 'id': '1511176662195245209', 'deny': '0', 'allow': '1049600'}, {'type': 0, 'id': '1511180061296820324', 'deny': '0', 'allow': '1049600'}], 'parent_id': '1510609840073080872', 'nsfw': False, 'name': '⛧-𝑶ғғ', 'last_message_id': '1513238804146946298', 'id': '1510609840073080874', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'voice_hangout': None, 'voice_background_display': None, 'version': 1780363118354, 'user_limit': 0, 'type': 2, 'theme_color': None, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [{'type': 0, 'id': '1511176662195245209', 'deny': '0', 'allow': '1049600'}, {'type': 0, 'id': '1510609839473168604', 'deny': '1024', 'allow': '0'}], 'parent_id': '1511175115558228079', 'nsfw': False, 'name': 'hola!! hola nya', 'last_message_id': None, 'id': '1510609840073080875', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}, {'version': 1780803329159, 'type': 4, 'position': 2, 'permission_overwrites': [{'type': 0, 'id': '1510609839473168604', 'deny': '1049600', 'allow': '0'}, {'type': 0, 'id': '1511180061296820324', 'deny': '0', 'allow': '1049600'}], 'parent_id': None, 'name': 'STAFF!!!', 'id': '1510609944074780742', 'flags': 0}, {'version': 1780363190865, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 4, 'permission_overwrites': [{'type': 0, 'id': '1510609839473168604', 'deny': '1024', 'allow': '0'}], 'parent_id': '1510609944074780742', 'nsfw': False, 'name': 'notas-a-mindear', 'last_message_id': '1510610418953879642', 'id': '1510610021753290852', 'flags': 0}, {'version': 1780363842726, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 3, 'permission_overwrites': [{'type': 0, 'id': '1510609839473168604', 'deny': '1024', 'allow': '0'}, {'type': 0, 'id': '1511176662195245209', 'deny': '0', 'allow': '1049600'}, {'type': 0, 'id': '1511180061296820324', 'deny': '0', 'allow': '1024'}], 'parent_id': '1510609840073080872', 'nsfw': False, 'name': '⛧-𝑶ɴ-ᴇɴᴛʀᴀᴅᴀ', 'last_message_id': '1513039194812059680', 'id': '1510611045650272266', 'flags': 0}, {'version': 1780363879139, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [{'type': 0, 'id': '1510609839473168604', 'deny': '3072', 'allow': '0'}, {'type': 0, 'id': '1511176662195245209', 'deny': '0', 'allow': '1024'}], 'parent_id': None, 'nsfw': False, 'name': '⛧-𝑪ᴏ́ᴅᴇx', 'last_message_id': None, 'id': '1510611292065632377', 'flags': 0}, {'version': 1780363118354, 'type': 4, 'position': 1, 'permission_overwrites': [{'type': 0, 'id': '1511176662195245209', 'deny': '0', 'allow': '1049600'}, {'type': 0, 'id': '1510609839473168604', 'deny': '1024', 'allow': '0'}], 'parent_id': None, 'name': '⛧ 𝐕𝐂', 'id': '1511175115558228079', 'flags': 0}, {'version': 1780363190834, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': None, 'nsfw': False, 'name': '⛧-𝑷ᴀᴄᴛᴏ', 'last_message_id': '1513027229590749245', 'id': '1511177456252620911', 'flags': 0}, {'version': 1780803329159, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 5, 'permission_overwrites': [{'type': 0, 'id': '1510609839473168604', 'deny': '1049600', 'allow': '0'}, {'type': 0, 'id': '1511180061296820324', 'deny': '0', 'allow': '1049600'}], 'parent_id': '1510609944074780742', 'nsfw': False, 'name': 'testeo-de-noctarium', 'last_message_id': '1513313413135073310', 'id': '1511177639497433108', 'flags': 0}, {'version': 1780854311440, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 6, 'permission_overwrites': [{'type': 0, 'id': '1510609839473168604', 'deny': '1024', 'allow': '0'}, {'type': 1, 'id': '431544605209788416', 'deny': '0', 'allow': '1024'}], 'parent_id': '1510609944074780742', 'nsfw': False, 'name': 'susurros-del-mas-alla', 'last_message_id': '1513237573915377714', 'id': '1513025537331953716', 'flags': 0}], 'joined_at': '2026-06-07T17:50:37.949000+00:00', 'default_message_notifications': 0, 'system_channel_flags': 0, 'max_members': 25000000, 'stickers': [], 'lazy': True, 'application_id': None, 'emojis': [], 'max_stage_video_channel_users': 50, 'members': [{'user': {'username': '⛧ 𝑵ᴏᴄᴛᴀʀɪᴜᴍ', 'public_flags': 0, 'primary_guild': None, 'id': '1511181084115730432', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '2141', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '62faf5f4ddf4458d656e9b4c568bb644'}, 'roles': ['1511176220916715600', '1513238771833770198'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-06-07T17:50:37.949000+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'presences': [], 'version': 1780507353086, 'voice_states': [], 'region': 'deprecated', 'member_count': 3, 'icon': '92b1d50d1701b19e4f1b0b3f8c5feb60', 'large': False, 'nsfw': False}}
[2026-06-08 00:47:39] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-06-08 00:47:39] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': 'a35ef85c2931b76a6efa6170529c6f74', 'members': [{'user': {'username': 'ret_', 'public_flags': 0, 'primary_guild': {'tag': 'Moon', 'identity_guild_id': '884363610640498698', 'identity_enabled': True, 'badge': '5e6b8ec3edb91bbd32dc0f86cf934622'}, 'id': '344926275942481930', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '0', 'collectibles': {'nameplate': {'sku_id': '1409898407920668782', 'palette': 'cobalt', 'label': 'COLLECTIBLES_LUNAR_ECLIPSE_MOONLIT_CHARM_NP_A11Y', 'expires_at': None, 'asset': 'nameplates/lunar_eclipse/moonlit_charm/'}}, 'bot': False, 'avatar_decoration_data': None, 'avatar': '5540fc513bf22281e0a2113022f02a72'}, 'roles': ['1511176220916715600', '1511176662195245209'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-05-31T11:44:11.522000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Tupperbox', 'public_flags': 65536, 'primary_guild': None, 'id': '431544605209788416', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '4754', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '3ba09fa76b4688a5e2273c56a4d8856c'}, 'roles': ['1511179701165752512', '1511180061296820324'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-06-02T01:28:37.202000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': '⛧ 𝑵ᴏᴄᴛᴀʀɪᴜᴍ', 'public_flags': 0, 'primary_guild': None, 'id': '1511181084115730432', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '2141', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '62faf5f4ddf4458d656e9b4c568bb644'}, 'roles': ['1511176220916715600', '1513238771833770198'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-06-07T17:50:37.949000+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1510609839473168604', 'chunk_index': 0, 'chunk_count': 1}}
[2026-06-08 00:47:39] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-06-08 00:47:39] [DEBUG   ] discord.state: Processed a chunk for 3 members in guild ID 1510609839473168604.
[2026-06-08 00:47:41] [DEBUG   ] discord.client: Dispatching event guild_available
